	BE_Earth	BE_ISS	Human	MRSA	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	MRSA_prop	fxn	p.val	p.adj.BH
Antitoxin MazE	3	21	32	47	2	100	100	100	100	100	Antitoxin MazE	1	1
Antitoxin PezA	0	0	1	4	0	0	0	0	3.125	8.51063829787234	Antitoxin PezA	0.290234100301703	1
Arginase	3	21	32	47	2	100	100	100	100	100	Arginase	1	1
Arginine biosynthesis bifunctional protein ArgJ	3	21	32	47	2	100	100	100	100	100	Arginine biosynthesis bifunctional protein ArgJ	1	1
Arginine decarboxylase	3	21	32	47	2	100	100	100	100	100	Arginine decarboxylase	1	1
Arginine deiminase	3	21	32	47	2	100	100	100	100	100	Arginine deiminase	1	1
Arginine exporter protein ArgO	3	21	32	46	2	100	100	100	100	97.8723404255319	Arginine exporter protein ArgO	0.663739357617865	1
Arginine repressor	3	21	32	47	2	100	100	100	100	100	Arginine repressor	1	1
Arginine transport system permease protein ArtQ	3	21	32	47	2	100	100	100	100	100	Arginine transport system permease protein ArtQ	1	1
Arginine--tRNA ligase	3	20	32	47	2	100	95.2380952380952	100	100	100	Arginine--tRNA ligase	0.359066896152725	1
Arginine/ornithine antiporter	3	21	32	47	2	100	100	100	100	100	Arginine/ornithine antiporter	1	1
Argininosuccinate lyase	3	21	32	47	2	100	100	100	100	100	Argininosuccinate lyase	1	1
Argininosuccinate synthase	3	21	32	47	2	100	100	100	100	100	Argininosuccinate synthase	1	1
Arsenical pump membrane protein	3	21	32	47	2	100	100	100	100	100	Arsenical pump membrane protein	1	1
Aryl-phospho-beta-D-glucosidase BglA	3	21	32	47	2	100	100	100	100	100	Aryl-phospho-beta-D-glucosidase BglA	1	1
Ascorbate-specific PTS system EIIC component	3	21	31	46	2	100	100	100	96.875	97.8723404255319	Ascorbate-specific PTS system EIIC component	0.765385262637543	1
Asparagine--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Asparagine--tRNA ligase	1	1
Aspartate 1-decarboxylase	3	21	32	47	2	100	100	100	100	100	Aspartate 1-decarboxylase	1	1
Aspartate aminotransferase	3	21	32	47	2	100	100	100	100	100	Aspartate aminotransferase	1	1
Aspartate carbamoyltransferase	3	21	32	47	2	100	100	100	100	100	Aspartate carbamoyltransferase	1	1
Aspartate--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Aspartate--tRNA ligase	1	1
Aspartate-proton symporter	3	21	32	47	2	100	100	100	100	100	Aspartate-proton symporter	1	1
Aspartate-semialdehyde dehydrogenase	3	21	32	47	2	100	100	100	100	100	Aspartate-semialdehyde dehydrogenase	1	1
Aspartokinase	3	21	32	47	2	100	100	100	100	100	Aspartokinase	1	1
Aspartokinase 3	3	21	32	47	2	100	100	100	100	100	Aspartokinase 3	1	1
Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	3	21	32	47	2	100	100	100	100	100	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	1	1
Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	3	21	32	47	2	100	100	100	100	100	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	1	1
Assimilatory nitrate reductase electron transfer subunit	0	1	0	0	0	0	4.76190476190476	0	0	0	Assimilatory nitrate reductase electron transfer subunit	0.359066896152729	1
Assimilatory nitrite reductase [NAD(P)H] small subunit	3	21	32	47	2	100	100	100	100	100	Assimilatory nitrite reductase [NAD(P)H] small subunit	1	1
ATP phosphoribosyltransferase	3	21	32	47	2	100	100	100	100	100	ATP phosphoribosyltransferase	1	1
ATP phosphoribosyltransferase regulatory subunit	3	21	32	47	2	100	100	100	100	100	ATP phosphoribosyltransferase regulatory subunit	1	1
ATP synthase epsilon chain	3	21	32	47	2	100	100	100	100	100	ATP synthase epsilon chain	1	1
ATP synthase gamma chain	3	21	32	47	2	100	100	100	100	100	ATP synthase gamma chain	1	1
ATP synthase subunit a	3	21	32	47	2	100	100	100	100	100	ATP synthase subunit a	1	1
ATP synthase subunit alpha	3	21	32	47	2	100	100	100	100	100	ATP synthase subunit alpha	1	1
ATP synthase subunit b	3	21	32	47	2	100	100	100	100	100	ATP synthase subunit b	1	1
ATP synthase subunit beta	3	21	32	46	2	100	100	100	100	97.8723404255319	ATP synthase subunit beta	0.663739357617865	1
ATP synthase subunit c	3	21	32	47	2	100	100	100	100	100	ATP synthase subunit c	1	1
ATP synthase subunit delta	3	21	32	47	2	100	100	100	100	100	ATP synthase subunit delta	1	1
ATP-binding/permease protein CydD	3	21	32	47	2	100	100	100	100	100	ATP-binding/permease protein CydD	1	1
ATP-dependent 6-phosphofructokinase	3	21	32	47	2	100	100	100	100	100	ATP-dependent 6-phosphofructokinase	1	1
ATP-dependent Clp protease ATP-binding subunit ClpC	3	21	32	47	2	100	100	100	100	100	ATP-dependent Clp protease ATP-binding subunit ClpC	1	1
ATP-dependent Clp protease ATP-binding subunit ClpE	0	0	1	0	0	0	0	0	3.125	0	ATP-dependent Clp protease ATP-binding subunit ClpE	0.501156705795977	1
ATP-dependent Clp protease ATP-binding subunit ClpL	3	21	32	47	2	100	100	100	100	100	ATP-dependent Clp protease ATP-binding subunit ClpL	1	1
ATP-dependent Clp protease ATP-binding subunit ClpX	3	21	32	47	2	100	100	100	100	100	ATP-dependent Clp protease ATP-binding subunit ClpX	1	1
ATP-dependent Clp protease proteolytic subunit	3	21	32	47	2	100	100	100	100	100	ATP-dependent Clp protease proteolytic subunit	1	1
ATP-dependent dethiobiotin synthetase BioD 1	3	21	32	47	2	100	100	100	100	100	ATP-dependent dethiobiotin synthetase BioD 1	1	1
ATP-dependent DNA helicase PcrA	3	21	32	47	2	100	100	100	100	100	ATP-dependent DNA helicase PcrA	1	1
ATP-dependent DNA helicase RecG	3	21	32	47	2	100	100	100	100	100	ATP-dependent DNA helicase RecG	1	1
ATP-dependent DNA helicase RecQ	3	21	32	47	2	100	100	100	100	100	ATP-dependent DNA helicase RecQ	1	1
ATP-dependent helicase/deoxyribonuclease subunit B	3	21	32	47	2	100	100	100	100	100	ATP-dependent helicase/deoxyribonuclease subunit B	1	1
ATP-dependent helicase/nuclease subunit A	3	21	32	47	2	100	100	100	100	100	ATP-dependent helicase/nuclease subunit A	1	1
ATP-dependent protease ATPase subunit HslU	3	21	32	47	2	100	100	100	100	100	ATP-dependent protease ATPase subunit HslU	1	1
ATP-dependent protease subunit HslV	3	21	32	47	2	100	100	100	100	100	ATP-dependent protease subunit HslV	1	1
ATP-dependent RecD-like DNA helicase	3	21	32	47	2	100	100	100	100	100	ATP-dependent RecD-like DNA helicase	1	1
ATP-dependent zinc metalloprotease FtsH	3	21	32	47	2	100	100	100	100	100	ATP-dependent zinc metalloprotease FtsH	1	1
Bacitracin export ATP-binding protein BceA	3	21	32	47	2	100	100	100	100	100	Bacitracin export ATP-binding protein BceA	1	1
Bacitracin export permease protein BceB	3	21	32	47	2	100	100	100	100	100	Bacitracin export permease protein BceB	1	1
Bacterial non-heme ferritin	3	21	31	47	2	100	100	100	96.875	100	Bacterial non-heme ferritin	0.501156705795975	1
Bacteriocin lactacin-F subunit LafA	0	0	0	3	0	0	0	0	0	6.38297872340426	Bacteriocin lactacin-F subunit LafA	0.185860042674731	1
Baeyer-Villiger flavin-containing monooxygenase	3	21	32	47	2	100	100	100	100	100	Baeyer-Villiger flavin-containing monooxygenase	1	1
Beta-barrel assembly-enhancing protease	3	21	32	47	2	100	100	100	100	100	Beta-barrel assembly-enhancing protease	1	1
Beta-glucoside kinase	3	21	32	47	2	100	100	100	100	100	Beta-glucoside kinase	1	1
Betaine aldehyde dehydrogenase	3	21	32	47	2	100	100	100	100	100	Betaine aldehyde dehydrogenase	1	1
Bicarbonate transport ATP-binding protein CmpC	3	21	32	47	2	100	100	100	100	100	Bicarbonate transport ATP-binding protein CmpC	1	1
Bicarbonate transport ATP-binding protein CmpD	3	21	32	47	2	100	100	100	100	100	Bicarbonate transport ATP-binding protein CmpD	1	1
Bicyclomycin resistance protein	3	21	32	47	2	100	100	100	100	100	Bicyclomycin resistance protein	1	1
Bifunctional autolysin	3	21	32	47	2	100	100	100	100	100	Bifunctional autolysin	1	1
Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase	3	21	32	47	2	100	100	100	100	100	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase	1	1
Bifunctional ligase/repressor BirA	3	21	32	47	2	100	100	100	100	100	Bifunctional ligase/repressor BirA	1	1
Bifunctional oligoribonuclease and PAP phosphatase NrnA	3	21	32	47	2	100	100	100	100	100	Bifunctional oligoribonuclease and PAP phosphatase NrnA	1	1
Bifunctional protein FolD protein	3	21	32	47	2	100	100	100	100	100	Bifunctional protein FolD protein	1	1
Bifunctional protein GlmU	3	21	32	47	2	100	100	100	100	100	Bifunctional protein GlmU	1	1
Bifunctional protein HldE	0	0	1	1	0	0	0	0	3.125	2.12765957446809	Bifunctional protein HldE	0.765385262637542	1
Bifunctional protein PyrR	3	21	32	47	2	100	100	100	100	100	Bifunctional protein PyrR	1	1
Bifunctional purine biosynthesis protein PurH	3	21	32	47	2	100	100	100	100	100	Bifunctional purine biosynthesis protein PurH	1	1
Bifunctional ribokinase/ribose-5-phosphate isomerase A	3	21	32	47	2	100	100	100	100	100	Bifunctional ribokinase/ribose-5-phosphate isomerase A	1	1
Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR	3	21	31	47	2	100	100	100	96.875	100	Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR	0.501156705795975	1
Biotin carboxyl carrier protein of acetyl-CoA carboxylase	3	21	32	47	2	100	100	100	100	100	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	1	1
Biotin carboxylase	3	21	32	47	2	100	100	100	100	100	Biotin carboxylase	1	1
Biotin synthase	3	21	32	47	2	100	100	100	100	100	Biotin synthase	1	1
Biotin transporter BioY	3	21	32	47	2	100	100	100	100	100	Biotin transporter BioY	1	1
Branched-chain amino acid transport system 2 carrier protein	3	21	32	47	2	100	100	100	100	100	Branched-chain amino acid transport system 2 carrier protein	1	1
C protein alpha-antigen	0	0	1	0	0	0	0	0	3.125	0	C protein alpha-antigen	0.501156705795977	1
C4-dicarboxylic acid transporter DauA	0	0	0	1	0	0	0	0	0	2.12765957446809	C4-dicarboxylic acid transporter DauA	0.663739357617865	1
Cadmium, cobalt and zinc/H( )-K( ) antiporter	3	21	32	47	2	100	100	100	100	100	Cadmium, cobalt and zinc/H( )-K( ) antiporter	1	1
Caffeate CoA-transferase	3	21	32	47	2	100	100	100	100	100	Caffeate CoA-transferase	1	1
Capsular polysaccharide type 8 biosynthesis protein cap8A	3	21	32	47	2	100	100	100	100	100	Capsular polysaccharide type 8 biosynthesis protein cap8A	1	1
Carbamate kinase 1	3	21	32	46	2	100	100	100	100	97.8723404255319	Carbamate kinase 1	0.663739357617865	1
Carbamate kinase 2	3	21	32	47	2	100	100	100	100	100	Carbamate kinase 2	1	1
Carbamoyl-phosphate synthase large chain	3	21	32	47	2	100	100	100	100	100	Carbamoyl-phosphate synthase large chain	1	1
Carbamoyl-phosphate synthase small chain	3	21	32	47	2	100	100	100	100	100	Carbamoyl-phosphate synthase small chain	1	1
Carboxylesterase	3	21	32	47	2	100	100	100	100	100	Carboxylesterase	1	1
Cardiolipin synthase	3	21	32	47	2	100	100	100	100	100	Cardiolipin synthase	1	1
Carnitine transport ATP-binding protein OpuCA	3	21	32	47	2	100	100	100	100	100	Carnitine transport ATP-binding protein OpuCA	1	1
Carnitine transport binding protein OpuCC	3	21	32	47	2	100	100	100	100	100	Carnitine transport binding protein OpuCC	1	1
Carnitine transport permease protein OpuCB	3	21	32	47	2	100	100	100	100	100	Carnitine transport permease protein OpuCB	1	1
Carnitine transport permease protein OpuCD	3	21	32	47	2	100	100	100	100	100	Carnitine transport permease protein OpuCD	1	1
Catabolite control protein A	3	21	32	47	2	100	100	100	100	100	Catabolite control protein A	1	1
Catalase	3	21	32	47	2	100	100	100	100	100	Catalase	1	1
Catechol-2,3-dioxygenase	3	21	32	47	2	100	100	100	100	100	Catechol-2,3-dioxygenase	1	1
CCA-adding enzyme	3	21	32	47	2	100	100	100	100	100	CCA-adding enzyme	1	1
CdaA regulatory protein CdaR	3	21	32	47	2	100	100	100	100	100	CdaA regulatory protein CdaR	1	1
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	3	21	32	46	2	100	100	100	100	97.8723404255319	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	0.663739357617865	1
Cell cycle protein GpsB	3	21	32	47	2	100	100	100	100	100	Cell cycle protein GpsB	1	1
Cell division protein DivIB	3	21	32	47	2	100	100	100	100	100	Cell division protein DivIB	1	1
Cell division protein DivIC	3	21	32	47	2	100	100	100	100	100	Cell division protein DivIC	1	1
Cell division protein FtsA	3	21	32	45	2	100	100	100	100	95.7446808510638	Cell division protein FtsA	0.363888350188411	1
Cell division protein FtsL	3	21	32	47	2	100	100	100	100	100	Cell division protein FtsL	1	1
Cell division protein FtsZ	3	21	32	47	2	100	100	100	100	100	Cell division protein FtsZ	1	1
Cell division protein SepF	3	21	32	47	2	100	100	100	100	100	Cell division protein SepF	1	1
Cell division protein ZapA	3	21	32	47	2	100	100	100	100	100	Cell division protein ZapA	1	1
Cell shape-determining protein MreC	3	21	32	47	2	100	100	100	100	100	Cell shape-determining protein MreC	1	1
Central glycolytic genes regulator	3	21	32	47	2	100	100	100	100	100	Central glycolytic genes regulator	1	1
Chaperone protein ClpB	3	21	32	47	2	100	100	100	100	100	Chaperone protein ClpB	1	1
Chaperone protein DnaJ	3	21	32	47	2	100	100	100	100	100	Chaperone protein DnaJ	1	1
Chaperone protein DnaK	3	21	32	47	2	100	100	100	100	100	Chaperone protein DnaK	1	1
Chloramphenicol acetyltransferase	0	0	0	2	0	0	0	0	0	4.25531914893617	Chloramphenicol acetyltransferase	0.363888350188412	1
Choline transport ATP-binding protein OpuBA	3	21	32	47	2	100	100	100	100	100	Choline transport ATP-binding protein OpuBA	1	1
Choline transport system permease protein OpuBB	3	21	32	47	2	100	100	100	100	100	Choline transport system permease protein OpuBB	1	1
Chorismate synthase	3	21	32	46	2	100	100	100	100	97.8723404255319	Chorismate synthase	0.663739357617865	1
Chromosomal replication initiator protein DnaA	3	21	32	47	2	100	100	100	100	100	Chromosomal replication initiator protein DnaA	1	1
Chromosome partition protein Smc	3	21	32	47	2	100	100	100	100	100	Chromosome partition protein Smc	1	1
Chromosome-anchoring protein RacA	0	2	1	5	0	0	9.52380952380952	0	3.125	10.6382978723404	Chromosome-anchoring protein RacA	0.515845862929696	1
Chromosome-partitioning ATPase Soj	0	0	1	0	0	0	0	0	3.125	0	Chromosome-partitioning ATPase Soj	0.501156705795977	1
Chromosome-partitioning protein Spo0J	3	21	32	47	2	100	100	100	100	100	Chromosome-partitioning protein Spo0J	1	1
Citrate synthase 2	3	21	32	47	2	100	100	100	100	100	Citrate synthase 2	1	1
Citrate transporter	3	21	32	47	2	100	100	100	100	100	Citrate transporter	1	1
Cobalt-dependent inorganic pyrophosphatase	3	21	32	47	2	100	100	100	100	100	Cobalt-dependent inorganic pyrophosphatase	1	1
Cobalt/magnesium transport protein CorA	3	21	32	47	2	100	100	100	100	100	Cobalt/magnesium transport protein CorA	1	1
Cobyric acid synthase	3	21	32	47	2	100	100	100	100	100	Cobyric acid synthase	1	1
Cocaine esterase	3	21	32	47	2	100	100	100	100	100	Cocaine esterase	1	1
Coenzyme A biosynthesis bifunctional protein CoaBC	3	21	32	47	2	100	100	100	100	100	Coenzyme A biosynthesis bifunctional protein CoaBC	1	1
Coenzyme A disulfide reductase	3	21	32	47	2	100	100	100	100	100	Coenzyme A disulfide reductase	1	1
Coenzyme F420:L-glutamate ligase	3	21	32	47	2	100	100	100	100	100	Coenzyme F420:L-glutamate ligase	1	1
Cold shock protein CspA	3	21	32	47	2	100	100	100	100	100	Cold shock protein CspA	1	1
Cold shock protein CspC	0	1	0	0	0	0	4.76190476190476	0	0	0	Cold shock protein CspC	0.359066896152729	1
Cold shock-like protein CspLA	3	21	32	46	2	100	100	100	100	97.8723404255319	Cold shock-like protein CspLA	0.663739357617865	1
ComE operon protein 1	3	21	31	47	2	100	100	100	96.875	100	ComE operon protein 1	0.501156705795976	1
ComE operon protein 3	3	21	31	47	2	100	100	100	96.875	100	ComE operon protein 3	0.501156705795976	1
ComF operon protein 1	3	21	32	47	2	100	100	100	100	100	ComF operon protein 1	1	1
ComG operon protein 1	3	21	32	47	2	100	100	100	100	100	ComG operon protein 1	1	1
ComG operon protein 3	3	21	32	47	2	100	100	100	100	100	ComG operon protein 3	1	1
Competence protein CoiA	3	21	32	45	2	100	100	100	100	95.7446808510638	Competence protein CoiA	0.363888350188411	1
Conjugal transfer protein TraG	0	0	4	4	0	0	0	0	12.5	8.51063829787234	Conjugal transfer protein TraG	0.189202311487695	1
Conserved virulence factor B	3	21	32	47	2	100	100	100	100	100	Conserved virulence factor B	1	1
Copper chaperone CopZ	3	21	32	47	2	100	100	100	100	100	Copper chaperone CopZ	1	1
Copper-exporting P-type ATPase A	3	21	32	47	2	100	100	100	100	100	Copper-exporting P-type ATPase A	1	1
Copper-sensing transcriptional repressor RicR	3	21	32	47	2	100	100	100	100	100	Copper-sensing transcriptional repressor RicR	1	1
CTP synthase	3	21	32	47	2	100	100	100	100	100	CTP synthase	1	1
Cyclic di-AMP synthase CdaA	3	21	32	47	2	100	100	100	100	100	Cyclic di-AMP synthase CdaA	1	1
Cyclic-di-AMP phosphodiesterase GdpP	3	21	32	47	2	100	100	100	100	100	Cyclic-di-AMP phosphodiesterase GdpP	1	1
Cyclodextrin-binding protein	3	21	32	47	2	100	100	100	100	100	Cyclodextrin-binding protein	1	1
Cyclopentanol dehydrogenase	3	21	32	47	2	100	100	100	100	100	Cyclopentanol dehydrogenase	1	1
Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	3	21	32	47	2	100	100	100	100	100	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	1	1
Cystathionine beta-lyase MetC	3	21	32	47	2	100	100	100	100	100	Cystathionine beta-lyase MetC	1	1
Cystathionine gamma-lyase	3	21	32	47	2	100	100	100	100	100	Cystathionine gamma-lyase	1	1
Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase	3	21	32	47	2	100	100	100	100	100	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase	1	1
Cysteine desulfurase IscS	3	21	32	47	2	100	100	100	100	100	Cysteine desulfurase IscS	1	1
Cysteine synthase	3	21	32	47	2	100	100	100	100	100	Cysteine synthase	1	1
Cysteine--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Cysteine--tRNA ligase	1	1
Cytidine deaminase	3	21	32	47	2	100	100	100	100	100	Cytidine deaminase	1	1
Cytidylate kinase	3	21	32	47	2	100	100	100	100	100	Cytidylate kinase	1	1
Cytosol aminopeptidase	3	21	32	47	2	100	100	100	100	100	Cytosol aminopeptidase	1	1
D-3-phosphoglycerate dehydrogenase	3	21	32	47	2	100	100	100	100	100	D-3-phosphoglycerate dehydrogenase	1	1
D-alanine aminotransferase	3	21	32	47	2	100	100	100	100	100	D-alanine aminotransferase	1	1
D-alanine--D-alanine ligase	3	21	32	47	2	100	100	100	100	100	D-alanine--D-alanine ligase	1	1
D-alanine--poly(phosphoribitol) ligase subunit 1	3	21	32	47	2	100	100	100	100	100	D-alanine--poly(phosphoribitol) ligase subunit 1	1	1
D-alanine--poly(phosphoribitol) ligase subunit 2	3	21	32	47	2	100	100	100	100	100	D-alanine--poly(phosphoribitol) ligase subunit 2	1	1
D-alanyl-D-alanine carboxypeptidase	0	0	0	1	0	0	0	0	0	2.12765957446809	D-alanyl-D-alanine carboxypeptidase	0.663739357617867	1
D-alanyl-D-alanine carboxypeptidase DacA	3	21	32	47	2	100	100	100	100	100	D-alanyl-D-alanine carboxypeptidase DacA	1	1
D-alanyl-D-alanine dipeptidase	0	0	0	2	0	0	0	0	0	4.25531914893617	D-alanyl-D-alanine dipeptidase	0.363888350188413	1
D-aminoacyl-tRNA deacylase	3	21	32	47	2	100	100	100	100	100	D-aminoacyl-tRNA deacylase	1	1
D-arabitol-phosphate dehydrogenase	3	21	32	47	2	100	100	100	100	100	D-arabitol-phosphate dehydrogenase	1	1
D-lactate dehydrogenase	3	21	32	47	2	100	100	100	100	100	D-lactate dehydrogenase	1	1
D-ribose pyranase	3	21	32	47	2	100	100	100	100	100	D-ribose pyranase	1	1
D-serine/D-alanine/glycine transporter	3	21	32	47	2	100	100	100	100	100	D-serine/D-alanine/glycine transporter	1	1
D-specific alpha-keto acid dehydrogenase	0	0	0	1	0	0	0	0	0	2.12765957446809	D-specific alpha-keto acid dehydrogenase	0.663739357617867	1
DEAD-box ATP-dependent RNA helicase CshA	3	21	32	47	2	100	100	100	100	100	DEAD-box ATP-dependent RNA helicase CshA	1	1
DEAD-box ATP-dependent RNA helicase CshB	3	21	32	47	2	100	100	100	100	100	DEAD-box ATP-dependent RNA helicase CshB	1	1
DegV domain-containing protein	3	21	32	47	2	100	100	100	100	100	DegV domain-containing protein	1	1
Dehydrosqualene desaturase	3	21	32	47	2	100	100	100	100	100	Dehydrosqualene desaturase	1	1
Dehydrosqualene synthase	3	21	32	47	2	100	100	100	100	100	Dehydrosqualene synthase	1	1
Delta-aminolevulinic acid dehydratase	3	21	32	47	2	100	100	100	100	100	Delta-aminolevulinic acid dehydratase	1	1
Delta-hemolysin	2	20	31	47	2	66.6666666666667	95.2380952380952	100	96.875	100	Delta-hemolysin	0.0949814460927795	1
Delta(1)-pyrroline-2-carboxylate reductase	3	21	32	47	2	100	100	100	100	100	Delta(1)-pyrroline-2-carboxylate reductase	1	1
Delta(12)-fatty-acid desaturase	0	0	0	1	0	0	0	0	0	2.12765957446809	Delta(12)-fatty-acid desaturase	0.663739357617865	1
Demethylmenaquinone methyltransferase	3	21	32	46	2	100	100	100	100	97.8723404255319	Demethylmenaquinone methyltransferase	0.663739357617866	1
Demethylrebeccamycin-D-glucose O-methyltransferase	3	21	32	47	2	100	100	100	100	100	Demethylrebeccamycin-D-glucose O-methyltransferase	1	1
Denitrification regulatory protein NirQ	3	21	31	47	2	100	100	100	96.875	100	Denitrification regulatory protein NirQ	0.501156705795975	1
Deoxyadenosine/deoxycytidine kinase	3	21	32	47	2	100	100	100	100	100	Deoxyadenosine/deoxycytidine kinase	1	1
Deoxyguanosine kinase	3	21	32	47	2	100	100	100	100	100	Deoxyguanosine kinase	1	1
Deoxyribodipyrimidine photo-lyase	3	21	32	47	2	100	100	100	100	100	Deoxyribodipyrimidine photo-lyase	1	1
Deoxyribose-phosphate aldolase 1	3	21	29	46	2	100	100	100	90.625	97.8723404255319	Deoxyribose-phosphate aldolase 1	0.236790652695434	1
Deoxyribose-phosphate aldolase 2	3	21	31	46	2	100	100	100	96.875	97.8723404255319	Deoxyribose-phosphate aldolase 2	0.765385262637541	1
Dephospho-CoA kinase	3	21	32	47	2	100	100	100	100	100	Dephospho-CoA kinase	1	1
Di-/tripeptide transporter	3	21	32	47	2	100	100	100	100	100	Di-/tripeptide transporter	1	1
Diacetyl reductase [(S)-acetoin forming]	3	21	32	47	2	100	100	100	100	100	Diacetyl reductase [(S)-acetoin forming]	1	1
Diacylglycerol kinase	3	21	31	47	2	100	100	100	96.875	100	Diacylglycerol kinase	0.501156705795975	1
Diadenylate cyclase	0	1	0	0	0	0	4.76190476190476	0	0	0	Diadenylate cyclase	0.359066896152729	1
Diaminopimelate decarboxylase	3	21	32	47	2	100	100	100	100	100	Diaminopimelate decarboxylase	1	1
Diaminopimelate epimerase	3	21	32	47	2	100	100	100	100	100	Diaminopimelate epimerase	1	1
Diapolycopene oxygenase	3	21	32	47	2	100	100	100	100	100	Diapolycopene oxygenase	1	1
Diguanylate cyclase DosC	3	21	32	46	2	100	100	100	100	97.8723404255319	Diguanylate cyclase DosC	0.663739357617867	1
Dihydroanticapsin 7-dehydrogenase	3	21	32	47	2	100	100	100	100	100	Dihydroanticapsin 7-dehydrogenase	1	1
Dihydrofolate reductase	3	21	32	47	2	100	100	100	100	100	Dihydrofolate reductase	1	1
Dihydrofolate reductase type 1 from	0	0	1	1	0	0	0	0	3.125	2.12765957446809	Dihydrofolate reductase type 1 from	0.76538526263754	1
Dihydrolipoyl dehydrogenase	3	21	32	47	2	100	100	100	100	100	Dihydrolipoyl dehydrogenase	1	1
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	3	21	32	47	2	100	100	100	100	100	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	1	1
Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	3	21	32	47	2	100	100	100	100	100	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	1	1
Dihydroneopterin aldolase	3	21	32	47	2	100	100	100	100	100	Dihydroneopterin aldolase	1	1
Dihydroorotase	3	21	32	47	2	100	100	100	100	100	Dihydroorotase	1	1
Dihydroorotate dehydrogenase (quinone)	3	21	32	47	2	100	100	100	100	100	Dihydroorotate dehydrogenase (quinone)	1	1
Dihydropteroate synthase	3	21	32	47	2	100	100	100	100	100	Dihydropteroate synthase	1	1
Dihydroxy-acid dehydratase	3	21	32	47	2	100	100	100	100	100	Dihydroxy-acid dehydratase	1	1
Dipeptide-binding protein DppE	3	21	32	47	2	100	100	100	100	100	Dipeptide-binding protein DppE	1	1
Disulfide bond formation protein D	3	21	32	47	2	100	100	100	100	100	Disulfide bond formation protein D	1	1
Divalent metal cation transporter MntH	3	21	32	47	2	100	100	100	100	100	Divalent metal cation transporter MntH	1	1
DNA gyrase subunit A	3	21	32	47	2	100	100	100	100	100	DNA gyrase subunit A	1	1
DNA gyrase subunit B	3	21	32	47	2	100	100	100	100	100	DNA gyrase subunit B	1	1
DNA ligase	3	21	32	47	2	100	100	100	100	100	DNA ligase	1	1
DNA mismatch repair protein MutL	3	21	32	47	2	100	100	100	100	100	DNA mismatch repair protein MutL	1	1
DNA mismatch repair protein MutS	3	21	32	47	2	100	100	100	100	100	DNA mismatch repair protein MutS	1	1
DNA polymerase I	3	21	32	47	2	100	100	100	100	100	DNA polymerase I	1	1
DNA polymerase III PolC-type	3	21	32	47	2	100	100	100	100	100	DNA polymerase III PolC-type	1	1
DNA polymerase III subunit alpha	3	21	30	43	2	100	100	100	93.75	91.4893617021277	DNA polymerase III subunit alpha	0.329137881004997	1
DNA polymerase III subunit beta	3	21	32	47	2	100	100	100	100	100	DNA polymerase III subunit beta	1	1
DNA polymerase III subunit gamma/tau	3	21	32	47	2	100	100	100	100	100	DNA polymerase III subunit gamma/tau	1	1
DNA polymerase III subunit tau	3	21	32	47	2	100	100	100	100	100	DNA polymerase III subunit tau	1	1
DNA polymerase IV	3	21	31	47	2	100	100	100	96.875	100	DNA polymerase IV	0.501156705795975	1
DNA polymerase IV 1	3	21	32	47	2	100	100	100	100	100	DNA polymerase IV 1	1	1
DNA polymerase/3'-5' exonuclease PolX	3	21	32	47	2	100	100	100	100	100	DNA polymerase/3'-5' exonuclease PolX	1	1
DNA primase	3	21	32	47	2	100	100	100	100	100	DNA primase	1	1
DNA processing protein DprA	3	20	32	47	2	100	95.2380952380952	100	100	100	DNA processing protein DprA	0.359066896152726	1
DNA repair protein RadA	3	21	32	47	2	100	100	100	100	100	DNA repair protein RadA	1	1
DNA repair protein RecN	3	21	32	47	2	100	100	100	100	100	DNA repair protein RecN	1	1
DNA repair protein RecO	3	21	32	47	2	100	100	100	100	100	DNA repair protein RecO	1	1
